4.836546399077958469e+00,9.124776753852223976e+01
9.930174209590886036e+00,8.264275323540265106e+01
1.532323259914464764e+01,7.422239450972791985e+01
2.106252039014034239e+01,6.603443913074052318e+01
2.721362795612370888e+01,5.815174585582499134e+01
3.385160388890547978e+01,5.067548770086393972e+01
4.107084427481092348e+01,4.376083768971424348e+01
4.892355790973682161e+01,3.757428295338949908e+01
5.716015158182894140e+01,3.190608116965580621e+01
6.574060419940519751e+01,2.677410407305056950e+01
7.466709866300504927e+01,2.227206274524423435e+01
8.392638118961535554e+01,1.850312823021672415e+01
